NOMBRE_PARADERO;COORDENADAS;RUTA;NETWORK;TIPO_RUTA
Olímpica Los Caracoles;10.3915, -75.4818;A107;Transcaribe;Alimentadoras
Perea;10.3928, -75.4835;A107;Transcaribe;Alimentadoras
Colegio Fernández Baena;10.3941, -75.4852;A107;Transcaribe;Alimentadoras
Hogar San Pedro Claver;10.3954, -75.4869;A107;Transcaribe;Alimentadoras
Supergiros Bruselas;10.3967, -75.4886;A107;Transcaribe;Alimentadoras
Coca Cola Bruselas;10.3980, -75.4903;A107;Transcaribe;Alimentadoras
EDS Esso;10.3993, -75.4920;A107;Transcaribe;Alimentadoras
La Cuchilla;10.4006, -75.4937;A107;Transcaribe;Alimentadoras
Cancha Martínez Martelo;10.4019, -75.4954;A107;Transcaribe;Alimentadoras
Santa Lucía (retorno);10.3655, -75.4479;A107;Transcaribe;Alimentadoras
Santa Lucía;10.3655, -75.4479;A108;Transcaribe;Alimentadoras
Colegio INEM;10.3681, -75.4512;A108;Transcaribe;Alimentadoras
Clínica El Universal;10.3694, -75.4529;A108;Transcaribe;Alimentadoras
Restaurante Chinatown;10.3707, -75.4546;A108;Transcaribe;Alimentadoras
Centro Médico Buenos Aires;10.3720, -75.4563;A108;Transcaribe;Alimentadoras
Colegio Bertha Gedeón;10.3733, -75.4580;A108;Transcaribe;Alimentadoras
Patinódromo;10.3746, -75.4597;A108;Transcaribe;Alimentadoras
Parque Indupollo;10.3759, -75.4614;A108;Transcaribe;Alimentadoras
Bongás;10.3772, -75.4631;A108;Transcaribe;Alimentadoras
Nuevo Campestre Manzana G;10.3785, -75.4648;A108;Transcaribe;Alimentadoras
Hotel La Estancia;10.3798, -75.4665;A108;Transcaribe;Alimentadoras
Colegio 20 de Julio;10.3811, -75.4682;A108;Transcaribe;Alimentadoras
Olímpica Campestre;10.3824, -75.4699;A108;Transcaribe;Alimentadoras
Clínica Blas de Lezo;10.3837, -75.4716;A108;Transcaribe;Alimentadoras
Restaurante Fortuna China;10.3850, -75.4733;A108;Transcaribe;Alimentadoras
Cancha El Microfútbol;10.3863, -75.4750;A108;Transcaribe;Alimentadoras
Bodytech Santa Lucía;10.3876, -75.4767;A108;Transcaribe;Alimentadoras
C.C. Santa Lucía;10.3889, -75.4784;A108;Transcaribe;Alimentadoras
Entrada Los Caracoles;10.3902, -75.4801;A108;Transcaribe;Alimentadoras
Olímpica Los Caracoles;10.3915, -75.4818;A108;Transcaribe;Alimentadoras
Perea;10.3928, -75.4835;A108;Transcaribe;Alimentadoras
Colegio Fernández Baena;10.3941, -75.4852;A108;Transcaribe;Alimentadoras
Hogar San Pedro Claver;10.3954, -75.4869;A108;Transcaribe;Alimentadoras
Supergiros Bruselas;10.3967, -75.4886;A108;Transcaribe;Alimentadoras
Coca Cola Bruselas;10.3980, -75.4903;A108;Transcaribe;Alimentadoras
EDS Esso;10.3993, -75.4920;A108;Transcaribe;Alimentadoras
La Cuchilla;10.4006, -75.4937;A108;Transcaribe;Alimentadoras
Cancha Martínez Martelo;10.4019, -75.4954;A108;Transcaribe;Alimentadoras
Martínez Martelo;10.4032, -75.4971;A108;Transcaribe;Alimentadoras
Bazurto;10.4172, -75.5284;A108;Transcaribe;Alimentadoras
Chambacú;10.4265, -75.5431;A108;Transcaribe;Alimentadoras
Santa Lucía (retorno);10.3655, -75.4479;A108;Transcaribe;Alimentadoras
Santa Lucía;10.3655, -75.4479;A111;Transcaribe;Alimentadoras
Colegio Ciudadela 2000;10.3676, -75.4565;A111;Transcaribe;Alimentadoras
Hogar de Bien;10.3693, -75.4590;A111;Transcaribe;Alimentadoras
La Algodonera;10.3710, -75.4615;A111;Transcaribe;Alimentadoras
Clínica Rafael Calvo;10.3744, -75.4665;A111;Transcaribe;Alimentadoras
Villa Rubia;10.3761, -75.4690;A111;Transcaribe;Alimentadoras
Nueva Jerusalén;10.3778, -75.4715;A111;Transcaribe;Alimentadoras
Los Jardines;10.3795, -75.4740;A111;Transcaribe;Alimentadoras
Precio Fácil;10.3812, -75.4765;A111;Transcaribe;Alimentadoras
Calle 14;10.3829, -75.4790;A111;Transcaribe;Alimentadoras
Tienda Puentecito.com;10.3846, -75.4815;A111;Transcaribe;Alimentadoras
Taller Mañe;10.3863, -75.4840;A111;Transcaribe;Alimentadoras
El Milagro;10.3880, -75.4865;A111;Transcaribe;Alimentadoras
Entrada Golf;10.3897, -75.4890;A111;Transcaribe;Alimentadoras
Punta Alta;10.3914, -75.4915;A111;Transcaribe;Alimentadoras
Proleca;10.3931, -75.4940;A111;Transcaribe;Alimentadoras
Entrada Ceballos;10.3948, -75.4965;A111;Transcaribe;Alimentadoras
Bajos de San Isidro;10.3965, -75.4990;A111;Transcaribe;Alimentadoras
Nuevo Oriente;10.3982, -75.5015;A111;Transcaribe;Alimentadoras
Agrinal;10.3999, -75.5040;A111;Transcaribe;Alimentadoras
Navitrans;10.4016, -75.5065;A111;Transcaribe;Alimentadoras
Postobón;10.4033, -75.5090;A111;Transcaribe;Alimentadoras
Manzanillo;10.4050, -75.5115;A111;Transcaribe;Alimentadoras
Restaurante Bumangués;10.4067, -75.5140;A111;Transcaribe;Alimentadoras
Hogar San Pedro Claver;10.4084, -75.5165;A111;Transcaribe;Alimentadoras
Santa Lucía (retorno);10.3655, -75.4479;A111;Transcaribe;Alimentadoras
Portal Transcaribe;10.3655, -75.4479;A114;Transcaribe;Alimentadoras
Colegio Ciudadela 2000;10.3676, -75.4565;A114;Transcaribe;Alimentadoras
Hogar de Bien;10.3693, -75.4590;A114;Transcaribe;Alimentadoras
La Algodonera;10.3710, -75.4615;A114;Transcaribe;Alimentadoras
Clínica Rafael Calvo;10.3744, -75.4665;A114;Transcaribe;Alimentadoras
Villa Rubia;10.3761, -75.4690;A114;Transcaribe;Alimentadoras
Nueva Jerusalén;10.3778, -75.4715;A114;Transcaribe;Alimentadoras
Los Jardines;10.3795, -75.4740;A114;Transcaribe;Alimentadoras
Precio Fácil;10.3812, -75.4765;A114;Transcaribe;Alimentadoras
Calle 14;10.3829, -75.4790;A114;Transcaribe;Alimentadoras
Bruselas;10.3846, -75.4815;A114;Transcaribe;Alimentadoras
Taller Mañe;10.3863, -75.4840;A114;Transcaribe;Alimentadoras
El Milagro;10.3880, -75.4865;A114;Transcaribe;Alimentadoras
Entrada Golf;10.3897, -75.4890;A114;Transcaribe;Alimentadoras
Punta Alta;10.3914, -75.4915;A114;Transcaribe;Alimentadoras
Proleca;10.3931, -75.4940;A114;Transcaribe;Alimentadoras
Entrada Ceballos;10.3948, -75.4965;A114;Transcaribe;Alimentadoras
Bajos de San Isidro;10.3965, -75.4990;A114;Transcaribe;Alimentadoras
Nuevo Oriente;10.3982, -75.5015;A114;Transcaribe;Alimentadoras
Altos de San Pedro;10.3999, -75.5040;A114;Transcaribe;Alimentadoras
El Pozón;10.4016, -75.5065;A114;Transcaribe;Alimentadoras
Flor del Campo;10.4033, -75.5090;A114;Transcaribe;Alimentadoras
Calle Principal Flor del Campo;10.4050, -75.5115;A114;Transcaribe;Alimentadoras
Sector El Progreso;10.4067, -75.5140;A114;Transcaribe;Alimentadoras
Sector La Bendición;10.4084, -75.5165;A114;Transcaribe;Alimentadoras
Sector La Esperanza;10.4101, -75.5190;A114;Transcaribe;Alimentadoras
Sector El Milagro;10.4118, -75.5215;A114;Transcaribe;Alimentadoras
Sector La Fe;10.4135, -75.5240;A114;Transcaribe;Alimentadoras
Sector La Paz;10.4150, -75.5260;A114;Transcaribe;Alimentadoras
Sector El Renacer;10.4165, -75.5280;A114;Transcaribe;Alimentadoras
Sector El Refugio;10.4180, -75.5300;A114;Transcaribe;Alimentadoras
Sector El Tesoro;10.4195, -75.5320;A114;Transcaribe;Alimentadoras
Sector El Triunfo;10.4210, -75.5340;A114;Transcaribe;Alimentadoras
Portal Transcaribe (retorno);10.3655, -75.4479;A114;Transcaribe;Alimentadoras
Portal Transcaribe;10.3655, -75.4479;A117;Transcaribe;Alimentadoras
Colegio Ciudadela 2000;10.3676, -75.4565;A117;Transcaribe;Alimentadoras
Hogar de Bien;10.3693, -75.4590;A117;Transcaribe;Alimentadoras
La Algodonera;10.3710, -75.4615;A117;Transcaribe;Alimentadoras
Clínica Rafael Calvo;10.3744, -75.4665;A117;Transcaribe;Alimentadoras
Villa Rubia;10.3761, -75.4690;A117;Transcaribe;Alimentadoras
Nueva Jerusalén;10.3778, -75.4715;A117;Transcaribe;Alimentadoras
Los Jardines;10.3795, -75.4740;A117;Transcaribe;Alimentadoras
Precio Fácil;10.3812, -75.4765;A117;Transcaribe;Alimentadoras
Calle 14;10.3829, -75.4790;A117;Transcaribe;Alimentadoras
Bruselas;10.3846, -75.4815;A117;Transcaribe;Alimentadoras
Taller Mañe;10.3863, -75.4840;A117;Transcaribe;Alimentadoras
El Milagro;10.3880, -75.4865;A117;Transcaribe;Alimentadoras
Entrada Golf;10.3897, -75.4890;A117;Transcaribe;Alimentadoras
Punta Alta;10.3914, -75.4915;A117;Transcaribe;Alimentadoras
Proleca;10.3931, -75.4940;A117;Transcaribe;Alimentadoras
Entrada Ceballos;10.3948, -75.4965;A117;Transcaribe;Alimentadoras
Bajos de San Isidro;10.3965, -75.4990;A117;Transcaribe;Alimentadoras
Nuevo Oriente;10.3982, -75.5015;A117;Transcaribe;Alimentadoras
Altos de San Pedro;10.3999, -75.5040;A117;Transcaribe;Alimentadoras
El Pozón;10.4016, -75.5065;A117;Transcaribe;Alimentadoras
CDA;10.4033, -75.5090;A117;Transcaribe;Alimentadoras
Billares El Kiosko;10.4050, -75.5115;A117;Transcaribe;Alimentadoras
Sastrería La Prosperidad;10.4067, -75.5140;A117;Transcaribe;Alimentadoras
Villa Estrella;10.4084, -75.5165;A117;Transcaribe;Alimentadoras
Acuacar;10.4101, -75.5190;A117;Transcaribe;Alimentadoras
Portal Transcaribe (retorno);10.3655, -75.4479;A117;Transcaribe;Alimentadoras
Parque de la Marina;10.4225, -75.5472;C001;Transcaribe;Complementarias
Centro de Convenciones;10.4238, -75.5489;C001;Transcaribe;Complementarias
El Candil;10.4255, -75.5501;C001;Transcaribe;Complementarias
Sociedad Portuaria;10.4272, -75.5513;C001;Transcaribe;Complementarias
La Cuchilla;10.4118, -75.5215;C001;Transcaribe;Complementarias
Coca Cola;10.4101, -75.5190;C001;Transcaribe;Complementarias
Colegio Latinoamericano;10.4084, -75.5165;C001;Transcaribe;Complementarias
Piedra de Bolívar;10.4067, -75.5140;C001;Transcaribe;Complementarias
Universidad de Cartagena;10.4050, -75.5115;C001;Transcaribe;Complementarias
Hospital Universitario;10.4033, -75.5090;C001;Transcaribe;Complementarias
Parque Los Calamares;10.4016, -75.5065;C001;Transcaribe;Complementarias
Colegio INEM;10.3999, -75.5040;C001;Transcaribe;Complementarias
Universidad del Sinú;10.3982, -75.5015;C001;Transcaribe;Complementarias
Clínica El Bosque;10.3965, -75.4990;C001;Transcaribe;Complementarias
Caracoles;10.3948, -75.4965;C001;Transcaribe;Complementarias
Campestre;10.3931, -75.4940;C001;Transcaribe;Complementarias
El Milagro;10.3914, -75.4915;C001;Transcaribe;Complementarias
Taller Mañe;10.3897, -75.4890;C001;Transcaribe;Complementarias
Tienda Puentecito.com;10.3880, -75.4865;C001;Transcaribe;Complementarias
Institución Educativa San Lucas;10.3863, -75.4840;C001;Transcaribe;Complementarias
UPA La Reina;10.3846, -75.4815;C001;Transcaribe;Complementarias
Fe y Alegría;10.3829, -75.4790;C001;Transcaribe;Complementarias
Celumax;10.3812, -75.4765;C001;Transcaribe;Complementarias
Surtimax;10.3795, -75.4740;C001;Transcaribe;Complementarias
Super Materiales;10.3778, -75.4715;C001;Transcaribe;Complementarias
Ferretería El Educador;10.3761, -75.4690;C001;Transcaribe;Complementarias
Distrifluver;10.3744, -75.4665;C001;Transcaribe;Complementarias
Estadio de Softball;10.3727, -75.4640;C001;Transcaribe;Complementarias
Colegio Ciudadela 2000;10.3676, -75.45;C001;Transcaribe;Complementarias
Portal Transcaribe;10.3655, -75.4479;C016;Transcaribe;Complementarias
Villa Rosita;10.3680, -75.4505;C016;Transcaribe;Complementarias
Altamare;10.3702, -75.4530;C016;Transcaribe;Complementarias
Bomba Petromil;10.3724, -75.4555;C016;Transcaribe;Complementarias
Centro Comercial Mío;10.3746, -75.4580;C016;Transcaribe;Complementarias
Terminal de Transporte;10.3768, -75.4605;C016;Transcaribe;Complementarias
Palmas de Salamanca;10.3790, -75.4630;C016;Transcaribe;Complementarias
Central de Abastos;10.3812, -75.4655;C016;Transcaribe;Complementarias
Frente a Central de Abastos;10.3834, -75.4680;C016;Transcaribe;Complementarias
Entrada El Pozón;10.3856, -75.4705;C016;Transcaribe;Complementarias
El Cariñoso;10.3878, -75.4730;C016;Transcaribe;Complementarias
Portales de Alicante;10.3900, -75.4755;C016;Transcaribe;Complementarias
Villas de la Candelaria;10.3922, -75.4780;C016;Transcaribe;Complementarias
Megaluminios;10.3944, -75.4805;C016;Transcaribe;Complementarias
Ipanema;10.3966, -75.4830;C016;Transcaribe;Complementarias
Entrada Las Palmeras;10.3988, -75.4855;C016;Transcaribe;Complementarias
Las Palmeras;10.4010, -75.4880;C016;Transcaribe;Complementarias
Portal Transcaribe (retorno);10.3655, -75.4479;C016;Transcaribe;Complementarias
Parque de la Marina;10.4225, -75.5472;C017;Transcaribe;Complementarias
Cancha Bambino;10.4235, -75.5460;C017;Transcaribe;Complementarias
Teatro Adolfo Mejía;10.4245, -75.5450;C017;Transcaribe;Complementarias
El Boquetillo;10.4255, -75.5440;C017;Transcaribe;Complementarias
Colegio Modelo de la Costa;10.4265, -75.5430;C017;Transcaribe;Complementarias
Droguería Inglesa / Edificio Zafiro;10.4275, -75.5420;C017;Transcaribe;Complementarias
Entrada al Cabrero;10.4285, -75.5410;C017;Transcaribe;Complementarias
DATT;10.4295, -75.5400;C017;Transcaribe;Complementarias
Edificio Altamar;10.4305, -75.5390;C017;Transcaribe;Complementarias
Terrazas de San Sebastián;10.4315, -75.5380;C017;Transcaribe;Complementarias
Global Center;10.4325, -75.5370;C017;Transcaribe;Complementarias
Bomba Terpel;10.4335, -75.5360;C017;Transcaribe;Complementarias
Parque de las Américas;10.4345, -75.5350;C017;Transcaribe;Complementarias
Calle 67;10.4355, -75.5340;C017;Transcaribe;Complementarias
Puente Crespito;10.4365, -75.5330;C017;Transcaribe;Complementarias
Iglesia Cristo Rey;10.4375, -75.5320;C017;Transcaribe;Complementarias
Carrera 6;10.4385, -75.5310;C017;Transcaribe;Complementarias
Ferretería Crespo 70;10.4395, -75.5300;C017;Transcaribe;Complementarias
Frente a Hotel Las Américas;10.4405, -75.5290;C017;Transcaribe;Complementarias
Terminal del Norte;10.4415, -75.5280;C017;Transcaribe;Complementarias
Serena del Mar;10.4425, -75.5270;C017;Transcaribe;Complementarias
Barcelona de Indias;10.4435, -75.5260;C017;Transcaribe;Complementarias
Barceloneta;10.4445, -75.5250;C017;Transcaribe;Complementarias
